"scenario","variable","nutrient","quan_25","median","quan_75","share_neg","share_zero"
"CBS","crop_cultivation_losses","K",1478.80675,2216.7465,2971.9125,0,0.0236
"CBS","crop_cultivation_losses","N",1997.22875,2769.468,3516.59275,0,0.0245
"CBS","crop_cultivation_losses","P",255.835,416.6005,580.881,0,0.0386
"CBS","digestate","K",1367.74975,2034.4995,2787.258,0,0.001
"CBS","digestate","N",1484.3145,1837.0815,2310.42325,0,0
"CBS","digestate","P",646.14825,797.7745,970.7185,0,0
"CBS","egg_and_dairy","K",357.166,420.273,482.68025,0,0
"CBS","egg_and_dairy","N",1231.7695,1444.844,1656.7275,0,0
"CBS","egg_and_dairy","P",213.3495,250.583,287.7065,0,0
"CBS","export_dairy_egg","K",298.063,360.9685,423.57375,0,0
"CBS","export_dairy_egg","N",684.8145,900.289,1113.6525,0,0.0028
"CBS","export_dairy_egg","P",133.152,170.5705,207.7255,0,0.0011
"CBS","export_meat","K",0,3.5475,20.526,0,0.4438
"CBS","export_meat","N",27.2475,228.9005,447.512,0,0.2201
"CBS","export_meat","P",149.78975,189.7275,234.288,0,2e-04
"CBS","export_vegetable","K",17.84525,99.91,190.751,0,0.2039
"CBS","export_vegetable","N",0,0,526.43275,0,0.6007
"CBS","export_vegetable","P",74.774,100.146,128.49825,0,4e-04
"CBS","feed_crops","K",492.735,613.4495,658.75375,0,0.0231
"CBS","feed_crops","N",3854.746,4403.2395,4461.246,0,0.0053
"CBS","feed_crops","P",264.9315,364.7795,393.298,0,0.0426
"CBS","feed_from_processed_crops","K",0,1.4175,160.36625,0,0.4704
"CBS","feed_from_processed_crops","N",1525.551,2998.322,3322.5045,0,0.1013
"CBS","feed_from_processed_crops","P",0,6.078,128.683,0,0.4558
"CBS","food_and_feed_crops","K",292.6395,336.155,397.57975,0,0
"CBS","food_and_feed_crops","N",2710.94975,3119.996,3508.0955,0,0
"CBS","food_and_feed_crops","P",153.50025,182.441,242.771,0,0
"CBS","fresh_compost_crop","K",43.5625,46.961,50.6235,0,0
"CBS","fresh_compost_crop","N",73.79,79.5175,85.6615,0,0
"CBS","fresh_compost_crop","P",11.80075,12.7415,13.711,0,0
"CBS","fresh_compost_export","K",99.56175,107.356,115.65975,0,0
"CBS","fresh_compost_export","N",168.6225,181.792,195.7645,0,0
"CBS","fresh_compost_export","P",27.003,29.096,31.343,0,0
"CBS","fruit_and_vegetable","K",203.16375,203.709,204.256,0,0
"CBS","fruit_and_vegetable","N",177.933,178.3495,178.74725,0,0
"CBS","fruit_and_vegetable","P",28.939,29.007,29.079,0,0
"CBS","grassbased_feed","K",3546.796,3739.155,3933.23775,0,0
"CBS","grassbased_feed","N",3918.21775,4072.5445,4235.20975,0,0
"CBS","grassbased_feed","P",620.7695,655.322,689.589,0,0
"CBS","import_animal_products","K",16.40175,18.435,29.51975,0,0
"CBS","import_animal_products","N",114.6545,120.57,129.38325,0,0
"CBS","import_animal_products","P",15.94475,16.614,17.316,0,0
"CBS","import_dairy_egg","K",0,0,0,0,1
"CBS","import_dairy_egg","N",0,0,0,0,0.9972
"CBS","import_dairy_egg","P",0,0,0,0,0.9989
"CBS","import_inorganic_fertilizer","K",-1420.68675,-521.3495,375.30225,0.6527,0
"CBS","import_inorganic_fertilizer","N",4186.64975,5450.245,6682.885,0.0012,0
"CBS","import_inorganic_fertilizer","P",-112.45725,61.787,242.00525,0.4055,0
"CBS","import_meat","K",0,0,12.729,0,0.5562
"CBS","import_meat","N",0,0,0,0,0.7799
"CBS","import_meat","P",0,0,0,0,0.9998
"CBS","import_OFMSW","K",88.91275,97.64,106.4575,0,0
"CBS","import_OFMSW","N",170.5805,184.447,198.992,0,0
"CBS","import_OFMSW","P",22.21275,26.5695,31.21125,0,0
"CBS","import_organic_fertilizer","K",2365.14625,2774.3935,3163.89375,0,0
"CBS","import_organic_fertilizer","N",2796.169,3250.532,3687.2205,0,0
"CBS","import_organic_fertilizer","P",608.9035,709.1285,804.4005,0,0
"CBS","import_organic_K_nonanim","l",1452.43925,1515.125,1576.1445,0,0
"CBS","import_organic_N_nonanim","l",1736.92975,1772.875,1808.55725,0,0
"CBS","import_organic_P_nonanim","l",378.25,386.409,394.2115,0,0
"CBS","import_processed_feed","K",0,0,0,0,1
"CBS","import_processed_feed","N",0,0,0,0,1
"CBS","import_processed_feed","P",0,0,0,0,1
"CBS","imported_vegetal_products","K",88.883,91.7415,96.13825,0,0
"CBS","imported_vegetal_products","N",202.33975,626.8565,722.884,0,0
"CBS","imported_vegetal_products","P",19.017,19.603,20.205,0,0
"CBS","local_animal_products_consumed","K",135.67125,143.7495,149.74525,0,0
"CBS","local_animal_products_consumed","N",1448.919,1489.7315,1523.2555,0,0
"CBS","local_animal_products_consumed","P",127.51175,130.5785,133.608,0,0
"CBS","local_vegetal_products_consumed","K",322.626,347.0885,370.23375,0,0
"CBS","local_vegetal_products_consumed","N",178.409,274.0105,517.86575,0,0
"CBS","local_vegetal_products_consumed","P",57.9375,59.19,60.46,0,0
"CBS","manure_as_biogas_substrate","K",1276.08325,2041.9735,2869.963,0,0.0481
"CBS","manure_as_biogas_substrate","N",2561.10675,3297.3775,4256.6015,0,0
"CBS","manure_as_biogas_substrate","P",162.45625,341.065,516.377,0,0.1093
"CBS","manure_export","K",115.8275,1161.712,2023.89,0,0.2305
"CBS","manure_export","N",1035.29425,1782.8665,2652.5315,0,0.0505
"CBS","manure_export","P",0,2.7565,256.98725,0,0.4977
"CBS","manure_to_crop","K",2102.66175,3251.024,4571.59075,0.0053,0.0216
"CBS","manure_to_crop","N",3318.82525,4464.7215,5626.71875,0,0.0216
"CBS","manure_to_crop","P",391.94625,619.8995,880.63425,0.0119,0.0216
"CBS","net_feed_import","K",0,0,0,0,1
"CBS","net_feed_import","N",0,0,0,0,1
"CBS","net_feed_import","P",0,0,0,0,1
"CBS","net_food_import","K",90.83075,97.301,124.886,0,0
"CBS","net_food_import","N",254.43075,655.6065,724.12475,0,0
"CBS","net_food_import","P",19.01775,19.603,20.208,0,0
"CBS","ofmsw","K",122.7375,135.279,147.91875,0,0
"CBS","ofmsw","N",228.67975,247.6835,267.24275,0,0
"CBS","ofmsw","P",30.0825,35.9355,42.06525,0,0
"CBS","ofmsw_residual_waste","K",16.89025,18.6335,20.40025,0,0
"CBS","ofmsw_residual_waste","N",31.90875,34.7015,37.746,0,0
"CBS","ofmsw_residual_waste","P",4.184,5.026,5.88525,0,0
"CBS","other_organic_fertilizer_export","K",1718.6285,1789.515,1862.78725,0,0
"CBS","other_organic_fertilizer_export","N",1951.7485,2177.104,2399.735,0,0
"CBS","other_organic_fertilizer_export","P",438.1305,489.1175,538.3595,0,0
"CBS","sewage","K",840.73275,876.557,911.9125,0,0
"CBS","sewage","N",1861.13975,1901.8825,1940.47175,0,0
"CBS","sewage","P",257.487,262.882,268.408,0,0
"CBS","sewage_sludge_export","K",15.06075,20.027,25.0435,0,0
"CBS","sewage_sludge_export","N",263.77575,406.464,550.15025,0,0
"CBS","sewage_sludge_export","P",222.731,227.8765,233.03825,0,0
"CBS","sewage_to_crop","K",0.92,1.224,1.531,0,0
"CBS","sewage_to_crop","N",16.1355,24.842,33.5995,0,0
"CBS","sewage_to_crop","P",13.605,13.9215,14.241,0,0
"CBS","slaughter_animal","K",115.52075,137.7485,162.528,0,0
"CBS","slaughter_animal","N",1472.12525,1757.9965,2080.6995,0,0
"CBS","slaughter_animal","P",296.44,356.576,420.63775,0,0
"CBS","slaughter_waste","K",36.5455,44.2995,53.3135,0,0
"CBS","slaughter_waste","N",466.30975,566.0015,680.7065,0,0
"CBS","slaughter_waste","P",93.6965,114.535,137.82125,0,0
"CBS","straw","K",222.85775,229.4055,235.87175,0,0
"CBS","straw","N",91.723,92.226,92.739,0,0
"CBS","straw","P",23.273,23.974,24.703,0,0
"CBS","vegetal_biogas_substrate","K",167.78075,245.8435,339.21625,0,0.0104
"CBS","vegetal_biogas_substrate","N",0,74.5095,796.59175,0,0.4578
"CBS","vegetal_biogas_substrate","P",396.94475,497.4305,604.574,0,0
"CBS","wastewater_direct_discharge","K",429.006,447.1205,465.36725,0,0
"CBS","wastewater_direct_discharge","N",949.90375,970.062,989.94925,0,0
"CBS","wastewater_direct_discharge","P",131.358,134.1645,136.9315,0,0
"CBS","wastewater_effluent_gaseous_losses","K",819.831,855.1615,890.1505,0,0
"CBS","wastewater_effluent_gaseous_losses","N",1311.649,1470.005,1621.02175,0,0
"CBS","wastewater_effluent_gaseous_losses","P",18.80475,20.985,23.167,0,0
