"scenario","variable","nutrient","quan_25","median","quan_75","share_neg","share_zero"
"Ref","manure_as_biogas_substrate","K",780.18975,814.089,847.437,0,0
"Ref","manure_as_biogas_substrate","N",1014.43975,1075.437,1139.78625,0,0
"Ref","manure_as_biogas_substrate","P",243.927,254.1015,264.508,0,0
"Ref","manure_export","K",4552.79975,4645.5945,4740.9795,0,0
"Ref","manure_export","N",5529.831,5648.734,5766.785,0,0
"Ref","manure_export","P",1243.33175,1268.069,1293.93825,0,0
"Ref","manure_to_crop","K",1617.83,2314.3215,2990.80125,0.0052,0
"Ref","manure_to_crop","N",2447.9345,3014.849,3619.786,2e-04,0
"Ref","manure_to_crop","P",300.10925,443.968,595.48625,0.0125,0
"Ref","net_feed_import","K",3161.60675,3879.8635,4612.36175,0,1e-04
"Ref","net_feed_import","N",7674.20425,8466.2405,9298.87775,0,0
"Ref","net_feed_import","P",1704.6895,1867.263,2037.3875,0,0
"Ref","net_food_import","K",88.24625,90.6175,93.064,0,0
"Ref","net_food_import","N",196.24275,200.303,204.406,0,0
"Ref","net_food_import","P",19.017,19.603,20.205,0,0
"Ref","ofmsw","K",122.7375,135.279,147.91875,0,0
"Ref","ofmsw","N",228.67975,247.6835,267.24275,0,0
"Ref","ofmsw","P",30.0825,35.9355,42.06525,0,0
"Ref","ofmsw_residual_waste","K",16.89025,18.6335,20.40025,0,0
"Ref","ofmsw_residual_waste","N",31.90875,34.7015,37.746,0,0
"Ref","ofmsw_residual_waste","P",4.184,5.026,5.88525,0,0
"Ref","other_organic_fertilizer_export","K",1718.6285,1789.515,1862.78725,0,0
"Ref","other_organic_fertilizer_export","N",1951.7485,2177.104,2399.735,0,0
"Ref","other_organic_fertilizer_export","P",438.1305,489.1175,538.3595,0,0
"Ref","sewage","K",840.73275,876.557,911.9125,0,0
"Ref","sewage","N",1861.13975,1901.8825,1940.47175,0,0
"Ref","sewage","P",257.487,262.882,268.408,0,0
"Ref","sewage_sludge_export","K",15.06075,20.027,25.0435,0,0
"Ref","sewage_sludge_export","N",263.77575,406.464,550.15025,0,0
"Ref","sewage_sludge_export","P",222.731,227.8765,233.03825,0,0
"Ref","sewage_to_crop","K",0.92,1.224,1.531,0,0
"Ref","sewage_to_crop","N",16.1355,24.842,33.5995,0,0
"Ref","sewage_to_crop","P",13.605,13.9215,14.241,0,0
"Ref","slaughter_animal","K",254.242,274.204,295.692,0,0
"Ref","slaughter_animal","N",3255.18175,3514.062,3792.43775,0,0
"Ref","slaughter_animal","P",661.86475,714.929,773.232,0,0
"Ref","slaughter_waste","K",78.717,88.453,98.581,0,0
"Ref","slaughter_waste","N",1007.62925,1129.9295,1265.303,0,0
"Ref","slaughter_waste","P",204.93625,230.33,256.79975,0,0
"Ref","straw","K",222.85775,229.4055,235.87175,0,0
"Ref","straw","N",91.723,92.226,92.739,0,0
"Ref","straw","P",23.273,23.974,24.703,0,0
"Ref","vegetal_biogas_substrate","K",334.36725,348.8955,363.18725,0,0
"Ref","vegetal_biogas_substrate","N",1677.966,1762.0885,1848.5085,0,0
"Ref","vegetal_biogas_substrate","P",216.313,225.336,234.56325,0,0
"Ref","wastewater_direct_discharge","K",429.006,447.1205,465.36725,0,0
"Ref","wastewater_direct_discharge","N",949.90375,970.062,989.94925,0,0
"Ref","wastewater_direct_discharge","P",131.358,134.1645,136.9315,0,0
"Ref","wastewater_effluent_gaseous_losses","K",819.831,855.1615,890.1505,0,0
"Ref","wastewater_effluent_gaseous_losses","N",1311.649,1470.005,1621.02175,0,0
"Ref","wastewater_effluent_gaseous_losses","P",18.80475,20.985,23.167,0,0
"PS","animal_balance","K",0.003,0.006,0.01,0.0592,0.034
"PS","animal_balance","N",-4750.94325,-2876.4625,-1093.79425,0.8615,0
"PS","animal_balance","P",0.01,0.02,0.03,0.0647,0.011
"PS","animal_housing_and_storage_losses","K",0,0,0,0,1
"PS","animal_housing_and_storage_losses","N",1319.17875,1567.0105,1826.733,0,0
"PS","animal_housing_and_storage_losses","P",0,0,0,0,1
"PS","compost_to_consumption","K",39.963,43.414,46.88225,0,0
"PS","compost_to_consumption","N",78.035,84.948,91.74125,0,0
"PS","compost_to_consumption","P",13.62575,14.832,16.02,0,0
"PS","crop_cultivation_losses","K",982.673,1706.159,2449.626,0,0.0469
"PS","crop_cultivation_losses","N",2133.5485,2862.4225,3610.376,0,0.0032
"PS","crop_cultivation_losses","P",211.25175,372.208,535.48075,0,0.0545
"PS","digestate","K",1137.10125,1817.095,2577.412,0,0.038
"PS","digestate","N",1731.1935,2174.972,2729.94525,0,0
"PS","digestate","P",330.55675,482.618,653.1805,0,2e-04
"PS","egg_and_dairy","K",357.166,420.273,482.68025,0,0
"PS","egg_and_dairy","N",1231.7695,1444.844,1656.7275,0,0
"PS","egg_and_dairy","P",213.3495,250.583,287.7065,0,0
"PS","export_dairy_egg","K",298.063,360.9685,423.57375,0,0
"PS","export_dairy_egg","N",684.8145,900.289,1113.6525,0,0.0028
"PS","export_dairy_egg","P",133.152,170.5705,207.7255,0,0.0011
"PS","export_meat","K",0,3.5475,20.526,0,0.4438
"PS","export_meat","N",27.2475,228.9005,447.512,0,0.2201
"PS","export_meat","P",149.78975,189.7275,234.288,0,2e-04
"PS","export_vegetable","K",591.60075,784.033,997.20025,0,0
"PS","export_vegetable","N",842.10575,1444.243,2153.95175,0,1e-04
"PS","export_vegetable","P",309.72675,403.3035,525.535,0,0
"PS","feed_crops","K",492.735,613.4495,658.75375,0,0.0231
"PS","feed_crops","N",3854.746,4403.2395,4461.246,0,0.0053
"PS","feed_crops","P",264.9315,364.7795,393.298,0,0.0426
"PS","feed_from_processed_crops","K",0,14.586,171.8635,0,0.4749
"PS","feed_from_processed_crops","N",0,55.7745,656.00975,0,0.4749
"PS","feed_from_processed_crops","P",0,11.2325,134.09325,0,0.4749
"PS","food_and_feed_crops","K",942.0225,1013.473,1148.3345,0,0
"PS","food_and_feed_crops","N",1794.84425,2228.2775,2712.58725,0,0
"PS","food_and_feed_crops","P",462.33625,528.0505,598.2605,0,0
"PS","fresh_compost_crop","K",43.5625,46.961,50.6235,0,0
"PS","fresh_compost_crop","N",73.79,79.5175,85.6615,0,0
"PS","fresh_compost_crop","P",11.80075,12.7415,13.711,0,0
"PS","fresh_compost_export","K",99.56175,107.356,115.65975,0,0
"PS","fresh_compost_export","N",168.6225,181.792,195.7645,0,0
"PS","fresh_compost_export","P",27.003,29.096,31.343,0,0
"PS","fruit_and_vegetable","K",203.16375,203.709,204.256,0,0
"PS","fruit_and_vegetable","N",177.933,178.3495,178.74725,0,0
"PS","fruit_and_vegetable","P",28.939,29.007,29.079,0,0
"PS","grassbased_feed","K",3546.796,3739.155,3933.23775,0,0
"PS","grassbased_feed","N",3918.21775,4072.5445,4235.20975,0,0
"PS","grassbased_feed","P",620.7695,655.322,689.589,0,0
"PS","import_animal_products","K",16.40175,18.435,29.51975,0,0
"PS","import_animal_products","N",114.6545,120.57,129.38325,0,0
"PS","import_animal_products","P",15.94475,16.614,17.316,0,0
"PS","import_dairy_egg","K",0,0,0,0,1
"PS","import_dairy_egg","N",0,0,0,0,0.9972
"PS","import_dairy_egg","P",0,0,0,0,0.9989
"PS","import_inorganic_fertilizer","K",-1252.426,-360.7885,560.5065,0.6035,0
"PS","import_inorganic_fertilizer","N",3725.82575,5142.06,6531.31025,0.0031,0
"PS","import_inorganic_fertilizer","P",147.158,324.4105,513.03325,0.1076,0
"PS","import_meat","K",0,0,12.729,0,0.5562
"PS","import_meat","N",0,0,0,0,0.7799
"PS","import_meat","P",0,0,0,0,0.9998
"PS","import_OFMSW","K",88.91275,97.64,106.4575,0,0
"PS","import_OFMSW","N",170.5805,184.447,198.992,0,0
"PS","import_OFMSW","P",22.21275,26.5695,31.21125,0,0
"PS","import_organic_fertilizer","K",2365.14625,2774.3935,3163.89375,0,0
"PS","import_organic_fertilizer","N",2796.169,3250.532,3687.2205,0,0
"PS","import_organic_fertilizer","P",608.9035,709.1285,804.4005,0,0
"PS","import_organic_K_nonanim","l",1452.43925,1515.125,1576.1445,0,0
"PS","import_organic_N_nonanim","l",1736.92975,1772.875,1808.55725,0,0
"PS","import_organic_P_nonanim","l",378.25,386.409,394.2115,0,0
"PS","import_processed_feed","K",0,0,0,0,1
"PS","import_processed_feed","N",0,0,0,0,1
"PS","import_processed_feed","P",0,0,0,0,1
"PS","imported_vegetal_products","K",88.227,90.571,92.992,0,0
"PS","imported_vegetal_products","N",196.24375,200.304,204.40625,0,0
"PS","imported_vegetal_products","P",19.017,19.603,20.205,0,0
"PS","local_animal_products_consumed","K",135.67125,143.7495,149.74525,0,0
"PS","local_animal_products_consumed","N",1448.919,1489.7315,1523.2555,0,0
"PS","local_animal_products_consumed","P",127.51175,130.5785,133.608,0,0
