"indicator","scenario","sum"
"Total input","Ref",0.267832881861755
"Total input","PS",0.120731975483049
"Total input","CBS",0.132485878427232
"Total input","LBS",0.138975741515889
"Losses","Ref",0.0885426687082607
"Losses","PS",0.0816061373332796
"Losses","CBS",0.080325396763091
"Losses","LBS",0.0701214594853303
"Feed","Ref",0.239423443074794
"Feed","PS",0.116592153630203
"Feed","CBS",0.158156068321169
"Feed","LBS",0.116592153630203
