description,variable,unit,lower,median,upper,distribution,subsystem,,version
Bulls,n_slaughter_bulls,individuals,431.10000,479.00000,526.90000,posnorm,animal,no,2020
,import_inorganic_K2O_t,t,405.00000,450.00000,495.00000,posnorm,crop,no,2020
celery,yield_celery_dt_ha,kg yield / FM dt,394.92000,438.80000,482.68000,posnorm,crop,no,unchanged
,K_content_lambs_lettuce_gr_100gr,mg K / 100 g product,378.90000,421.00000,463.10000,posnorm,crop,no,unchanged
Mais silage 5,yield_mais_silage,,372.60000,414.00000,455.40000,posnorm,crop,no,2020
,K_content_radishes_gr_100gr,mg K / 100 g product,366.30000,407.00000,447.70000,posnorm,crop,no,unchanged
Bulls,slaughter_weight_bulls,kg,360.90000,401.00000,441.10000,posnorm,animal,,unchanged
,K_content_arugula_gr_100gr,mg K / 100 g product,332.10000,369.00000,405.90000,posnorm,crop,no,unchanged
pumpkin,yield_pumpkin_dt_ha,kg yield / FM dt,324.36000,360.40000,396.44000,posnorm,crop,no,unchanged
lettuce,yield_lettuce_dt_ha,kg yield / FM dt,318.96000,354.40000,389.84000,posnorm,crop,no,unchanged
carrot,land_carrot_ha,kg land / FM dt,306.00000,340.00000,374.00000,posnorm,crop,no,unchanged
Oxes,slaughter_weight_oxes,kg,306.00000,340.00000,374.00000,posnorm,animal,,unchanged
,K_content_celery_gr_100gr,mg K / 100 g product,296.10000,329.00000,361.90000,posnorm,crop,no,unchanged
,K_content_carrot_gr_100gr,mg K / 100 g product,295.20000,328.00000,360.80000,posnorm,crop,no,unchanged
lettuce,land_lettuce_ha,kg land / FM dt,288.00000,320.00000,352.00000,posnorm,crop,no,unchanged
,K_content_pumpkin_gr_100gr,mg K / 100 g product,273.60000,304.00000,334.40000,posnorm,crop,no,unchanged
Dairy cattle 4,slaughter_weight_dairy_cattle,kg,261.90000,291.00000,320.10000,posnorm,animal,,unchanged
asparagus,land_asparagus_ha,kg land / FM dt,261.00000,290.00000,319.00000,posnorm,crop,no,unchanged
,K_content_sweet_corn_gr_100gr,mg K / 100 g product,260.10000,289.00000,317.90000,posnorm,crop,no,unchanged
egg laying rate (consumable eggs),egg_per_chicken,egg per chicken,259.20000,288.00000,316.80000,posnorm,animal,no,2020
,K_content_rhubarb_gr_100gr,mg K / 100 g product,258.30000,287.00000,315.70000,posnorm,crop,no,unchanged
rhubarb,yield_rhubarb_dt_ha,kg yield / FM dt,248.76000,276.40000,304.04000,posnorm,crop,no,unchanged
Female cattle (before calving),slaughter_weight_female_cattle,kg,243.90000,271.00000,298.10000,posnorm,animal,,unchanged
,K_yield_mowing,kg K2O / FM dt,243.00000,270.00000,297.00000,posnorm,crop,no,unchanged
,K_content_cabbage_gr_100gr,mg K / 100 g product,242.10000,269.00000,295.90000,posnorm,crop,no,unchanged
Dairy cattle 4,n_slaughter_dairy_cattle,individuals,237.60000,264.00000,290.40000,posnorm,animal,no,2020
,slaughter_weight_horse,kg,237.60000,264.00000,290.40000,posnorm,animal,,unchanged
,K_content_berries_gr_100gr,mg K / 100 g product,231.30000,257.00000,282.70000,posnorm,crop,no,unchanged
apple,yield_apple_dt_ha,kg yield / FM dt,229.50000,255.00000,280.50000,posnorm,crop,no,unchanged
,K_content_veggie_peas_gr_100gr,mg K / 100 g product,226.80000,252.00000,277.20000,posnorm,crop,no,unchanged
"silage mowing (max 20% hay), N harvested kg/ha",N_yield_mowing,kg N / FM dt,220.50000,245.00000,269.50000,posnorm,crop,no,unchanged
spinash,yield_spinash_dt_ha,kg yield / FM dt,204.12000,226.80000,249.48000,posnorm,crop,no,unchanged
,P_content_egg,mg P / 100 g,189.00000,210.00000,231.00000,posnorm,animal,no,unchanged
,K_content_asparagus_gr_100gr,mg K / 100 g product,182.70000,203.00000,223.30000,posnorm,crop,no,unchanged
cabbage,land_cabbage_ha,kg land / FM dt,180.00000,200.00000,220.00000,posnorm,crop,no,unchanged
,K_content_lettuce_gr_100gr,mg K / 100 g product,159.30000,177.00000,194.70000,posnorm,crop,no,unchanged
Younstock ≥ 8 and ≤ 12 months 15,slaughter_weight_younstock_midage,kg,158.40000,176.00000,193.60000,posnorm,animal,,unchanged
Nährstoffbericht said only larger than 160,fertilization_rate,kg per ha per year,153.00000,170.00000,187.00000,posnorm,crop,,unchanged
,K_content_strawberry_gr_100gr,mg K / 100 g product,147.60000,164.00000,180.40000,posnorm,crop,no,unchanged
,K_content_onion_gr_100gr,mg K / 100 g product,145.80000,162.00000,178.20000,posnorm,crop,no,unchanged
,consume_coffee,l / person,145.80000,162.00000,178.20000,posnorm,consumption,,unchanged
,K_content_stone_fruit_gr_100gr,mg K / 100 g product,144.90000,161.00000,177.10000,posnorm,crop,no,unchanged
onion,land_onion_ha,kg land / FM dt,144.00000,160.00000,176.00000,posnorm,crop,no,unchanged
,K_content_milk,mg K / 100 g,141.30000,157.00000,172.70000,posnorm,animal,no,unchanged
green_bean,land_green_bean_ha,kg land / FM dt,139.50000,155.00000,170.50000,posnorm,crop,no,unchanged
Younstock ≤ 8 months,slaughter_weight_younstock_youngage,kg,135.90000,151.00000,166.10000,posnorm,animal,,unchanged
,K_content_egg,mg K / 100 g,132.30000,147.00000,161.70000,posnorm,animal,no,unchanged
arugula,yield_arugula_dt_ha,kg yield / FM dt,125.01000,138.90000,152.79000,posnorm,crop,no,unchanged
berries,land_berries_ha,kg land / FM dt,121.50000,135.00000,148.50000,posnorm,crop,no,unchanged
Younstock ≤ 8 months,n_slaughter_younstock_youngage,individuals,118.80000,132.00000,145.20000,posnorm,animal,no,2020
"grazing, N harvested kg/ha",N_yield_grazing,kg N / FM dt,117.00000,130.00000,143.00000,posnorm,crop,no,unchanged
berries,yield_berries_dt_ha,kg yield / FM dt,112.50000,125.00000,137.50000,posnorm,crop,no,unchanged
Corn mais 2,yield_corn,,107.91000,119.90000,131.89000,posnorm,crop,no,2020
,K_content_apple_gr_100gr,mg K / 100 g product,107.10000,119.00000,130.90000,posnorm,crop,no,unchanged
,P_content_veggie_peas_gr_100gr,mg P / 100 g product,106.20000,118.00000,129.80000,posnorm,crop,no,unchanged
green_bean,yield_green_bean_dt_ha,kg yield / FM dt,106.02000,117.80000,129.58000,posnorm,crop,no,unchanged
import of inorganic fertilizer based on the ha,import_inorganic_N_kg_LF,kg per LF,101.25000,112.50000,123.75000,posnorm,crop,yes,2020
lambs_lettuce,yield_lambs_lettuce_dt_ha,kg yield / FM dt,100.89000,112.10000,123.31000,posnorm,crop,no,unchanged
"N excretion per ""Stellpletz"" and year",N_excretion_dairy,kg N / animal / year,97.15500,114.30000,131.44500,posnorm,animal,,
celery,land_celery_ha,kg land / FM dt,94.50000,105.00000,115.50000,posnorm,crop,no,unchanged
lambs_lettuce,land_lambs_lettuce_ha,kg land / FM dt,90.00000,100.00000,110.00000,posnorm,crop,no,unchanged
,consume_vegetables,kg / person / year,88.65000,98.50000,108.35000,posnorm,consumption,,unchanged
strawberry,yield_strawberry_dt_ha,kg yield / FM dt,87.30000,97.00000,106.70000,posnorm,crop,no,unchanged
stone_fruit,yield_stone_fruit_dt_ha,kg yield / FM dt,87.30000,97.00000,106.70000,posnorm,crop,no,unchanged
,slaughter_weight_pig,kg,86.40000,96.00000,105.60000,posnorm,animal,,unchanged
,consume_beer,l / person,84.60000,94.00000,103.40000,posnorm,consumption,,unchanged
sweet_corn,yield_sweet_corn_dt_ha,kg yield / FM dt,84.51000,93.90000,103.29000,posnorm,crop,no,unchanged
,P_content_milk,mg P / 100 g,82.80000,92.00000,101.20000,posnorm,animal,no,unchanged
,P_yield_mowing,kg P2O5 / FM dt,81.00000,90.00000,99.00000,posnorm,crop,no,unchanged
pumpkin,land_pumpkin_ha,kg land / FM dt,81.00000,90.00000,99.00000,posnorm,crop,no,unchanged
,P_content_parsley_gr_100gr,mg P / 100 g product,78.30000,87.00000,95.70000,posnorm,crop,no,unchanged
fresh milk products,consume_milk,kg / person / year,75.51000,83.90000,92.29000,posnorm,consumption,,unchanged
,P_content_sweet_corn_gr_100gr,mg P / 100 g product,74.70000,83.00000,91.30000,posnorm,crop,no,unchanged
Winter wheat,yield_winter_wheat,dt / ha,72.45000,80.50000,88.55000,posnorm,crop,no,2020
Winter barley (gerste),yield_winter_barley,,68.40000,76.00000,83.60000,posnorm,crop,no,2020
N content waste warer,N_content_wastewater,mg N per L,62.55000,69.50000,76.45000,posnorm,waste,no,unchanged
,consume_tree_fruits,kg / person / year,59.13000,65.70000,72.27000,posnorm,consumption,,unchanged
,consume_wheat,kg / person / year,58.50000,65.00000,71.50000,posnorm,consumption,,unchanged
veggie_peas,yield_veggie_peas_dt_ha,kg yield / FM dt,56.88000,63.20000,69.52000,posnorm,crop,no,unchanged
Triticale,yield_triticale,,54.36000,60.40000,66.44000,posnorm,crop,no,2020
average ackerzahl,ackerzahl,kg ackerzahl / FM dt,54.00000,60.00000,66.00000,posnorm,crop,,unchanged
weight of average egg,egg-weight,g,53.46500,62.90000,72.33500,posnorm,animal,no,unchanged
Summer barley,yield_summer_barley,,52.74000,58.60000,64.46000,posnorm,crop,no,2020
,consume_potato,kg / person / year,52.11000,57.90000,63.69000,posnorm,consumption,,unchanged
strawberry,land_strawberry_ha,kg land / FM dt,49.50000,55.00000,60.50000,posnorm,crop,no,unchanged
,convert_coffee,g per liter,49.50000,55.00000,60.50000,posnorm,consumption,,unchanged
Summer wheat (weizen),yield_summer_wheat,,48.24000,53.60000,58.96000,posnorm,crop,no,2020
,consume_herb_tea,l / person,48.06000,53.40000,58.74000,posnorm,consumption,,unchanged
pork meat,consume_pork,kg / person / year,45.09000,50.10000,55.11000,posnorm,consumption,,unchanged
arugula,land_arugula_ha,kg land / FM dt,45.00000,50.00000,55.00000,posnorm,crop,no,unchanged
apple,land_apple_ha,kg land / FM dt,45.00000,50.00000,55.00000,posnorm,crop,no,unchanged
,P_content_lambs_lettuce_gr_100gr,mg P / 100 g product,44.10000,49.00000,53.90000,posnorm,crop,no,unchanged
Fodder peas (erbsen),yield_fodder_peas,,43.38000,48.20000,53.02000,posnorm,crop,no,2020
,N_excretion_heifer,kg N / animal / year,43.35000,51.00000,58.65000,posnorm,animal,,
,P_content_celery_gr_100gr,mg P / 100 g product,43.20000,48.00000,52.80000,posnorm,crop,no,unchanged
Oxes,n_slaughter_oxes,individuals,42.30000,47.00000,51.70000,posnorm,animal,no,2020
,P_content_spinash_gr_100gr,mg P / 100 g product,41.40000,46.00000,50.60000,posnorm,crop,no,unchanged
,N_excretion_bull,kg N / animal / year,39.95000,47.00000,54.05000,posnorm,animal,,
,P_content_pumpkin_gr_100gr,mg P / 100 g product,39.60000,44.00000,48.40000,posnorm,crop,no,unchanged
,P_content_radishes_gr_100gr,mg P / 100 g product,39.60000,44.00000,48.40000,posnorm,crop,no,unchanged
,P_content_asparagus_gr_100gr,mg P / 100 g product,39.60000,44.00000,48.40000,posnorm,crop,no,unchanged
Common oat (hafer),yield_oat,,36.99000,41.10000,45.21000,posnorm,crop,no,2020
spinash,land_spinash_ha,kg land / FM dt,36.00000,40.00000,44.00000,posnorm,crop,no,unchanged
radishes,land_radishes_ha,kg land / FM dt,36.00000,40.00000,44.00000,posnorm,crop,no,unchanged
winter koolzaad (raps),yield_oilseed_rape,,35.73000,39.70000,43.67000,posnorm,crop,no,2020
Rye (rogge),yield_rye,,34.74000,38.60000,42.46000,posnorm,crop,no,2020
,consume_citrus_fruits,kg / person / year,32.85000,36.50000,40.15000,posnorm,consumption,,unchanged
,P_content_cabbage_gr_100gr,mg P / 100 g product,32.40000,36.00000,39.60000,posnorm,crop,no,unchanged
,P_content_carrot_gr_100gr,mg P / 100 g product,32.40000,36.00000,39.60000,posnorm,crop,no,unchanged
Beans (ackerbohnen),yield_beans,,31.59000,35.10000,38.61000,posnorm,crop,no,2020
,consume_sugar,kg / person / year,30.60000,34.00000,37.40000,posnorm,consumption,,unchanged
,P_content_onion_gr_100gr,mg P / 100 g product,29.70000,33.00000,36.30000,posnorm,crop,no,unchanged
,K_content_wastewater,mg K per L,28.80000,32.00000,35.20000,posnorm,waste,no,unchanged
,slaughter_weight_sheep,kg,27.00000,30.00000,33.00000,posnorm,animal,,unchanged
asparagus,yield_asparagus_dt_ha,kg yield / FM dt,25.92000,28.80000,31.68000,posnorm,crop,no,unchanged
,P_content_berries_gr_100gr,mg P / 100 g product,24.30000,27.00000,29.70000,posnorm,crop,no,unchanged
,consume_black_tea,l / person,23.76000,26.40000,29.04000,posnorm,consumption,,unchanged
parsley,land_parsley_ha,kg land / FM dt,22.50000,25.00000,27.50000,posnorm,crop,no,unchanged
,P_content_strawberry_gr_100gr,mg P / 100 g product,22.50000,25.00000,27.50000,posnorm,crop,no,unchanged
cheese incl. Cheese spread (product weight),consume_cheese,kg / person / year,22.23000,24.70000,27.17000,posnorm,consumption,,unchanged
,P_content_lettuce_gr_100gr,mg P / 100 g product,20.70000,23.00000,25.30000,posnorm,crop,no,unchanged
,P_content_rhubarb_gr_100gr,mg P / 100 g product,19.80000,22.00000,24.20000,posnorm,crop,no,unchanged
parsley,yield_parsley_dt_ha,kg yield / FM dt,18.90000,21.00000,23.10000,posnorm,crop,no,unchanged
,n_slaughter_goat,individuals,18.90000,21.00000,23.10000,posnorm,animal,no,2020
poultry,consume_poultry,kg / person / year,18.81000,20.90000,22.99000,posnorm,consumption,,unchanged
stone_fruit,land_stone_fruit_ha,kg land / FM dt,18.00000,20.00000,22.00000,posnorm,crop,no,unchanged
,convert_black_tea,g per liter,18.00000,20.00000,22.00000,posnorm,consumption,,unchanged
,convert_herb_tea,g per liter,18.00000,20.00000,22.00000,posnorm,consumption,,unchanged
digestate per produced kwel,Kwel_to_digestate,m3 per Kwel,18.00000,20.00000,22.00000,posnorm,waste,,
assumed energy produced by biogas per agricultural used area,lf_to_kwel,KWel per 100 LF,17.50000,21.00000,25.00000,posnorm,waste,,
weeks until turkey is slaughtered,weeks_to_grow,weeks,17.00000,20.00000,23.00000,posnorm,animal,,
,n_slaughter_horse,individuals,16.20000,18.00000,19.80000,posnorm,animal,no,2020
,slaughter_weight_lamb,kg,16.20000,18.00000,19.80000,posnorm,animal,,unchanged
,slaughter_weight_goat,kg,16.20000,18.00000,19.80000,posnorm,animal,,unchanged
Younstock ≥ 8 and ≤ 12 months 15,n_slaughter_younstock_midage,individuals,15.30000,17.00000,18.70000,posnorm,animal,no,2020
,N_excretion_sheep,kg N / animal / year,14.45000,17.00000,19.55000,posnorm,animal,,
,P_content_stone_fruit_gr_100gr,mg P / 100 g product,14.40000,16.00000,17.60000,posnorm,crop,no,unchanged
sweet_corn,land_sweet_corn_ha,kg land / FM dt,13.50000,15.00000,16.50000,posnorm,crop,no,unchanged
,N_exctretion_calf,kg N / animal / year,12.75000,15.00000,17.25000,posnorm,animal,,
amount of digestate staying in Kleve,N_digestate_kg_ha,kg N / FM dt,12.69000,14.10000,15.51000,posnorm,crop,no,unchanged
fish and fish products (catch weight),consume_fish,kg / person / year,12.69000,14.10000,15.51000,posnorm,consumption,,unchanged
beef and veal,consume_beef,kg / person / year,12.60000,14.00000,15.40000,posnorm,consumption,,unchanged
egg,consume_egg,kg / person / year,11.88000,13.20000,14.52000,posnorm,consumption,,unchanged
,P_content_apple_gr_100gr,mg P / 100 g product,9.90000,11.00000,12.10000,posnorm,crop,no,unchanged
,consume_potato_starch,kg / person / year,9.63000,10.70000,11.77000,posnorm,consumption,,unchanged
,N_excretion_pig,kg N / animal / year,9.35000,11.00000,12.65000,posnorm,animal,,
rhubarb,land_rhubarb_ha,kg land / FM dt,9.00000,10.00000,11.00000,posnorm,crop,no,unchanged
,P_content_wastewater,mg P per L,8.64000,9.60000,10.56000,posnorm,waste,no,unchanged
,consume_rye,kg / person / year,6.84000,7.60000,8.36000,posnorm,consumption,,unchanged
cream,consume_cream,kg / person / year,5.40000,6.00000,6.60000,posnorm,consumption,,unchanged
