description,variable,unit,lower,median,upper,distribution,subsystem,,version
,K_leftover_summer_barley,kg K / FM dt,1.26900,1.41000,1.55100,posnorm,crop,no,unchanged
,K_leftover_oat,kg K / FM dt,1.26900,1.41000,1.55100,posnorm,crop,no,unchanged
,K_leftover_triticale,kg K / FM dt,1.26900,1.41000,1.55100,posnorm,crop,no,unchanged
,consume_dried_fruit,kg / person / year,1.26000,1.40000,1.54000,posnorm,consumption,,unchanged
,P_content_female_cattle,g P2O5 / 100 g,1.23300,1.37000,1.50700,posnorm,animal,,unchanged
,P_content_sheep,g P2O5 / 100 g,1.23300,1.37000,1.50700,posnorm,animal,,unchanged
"other meat (game, rabbit)",consume_other_meat,kg / person / year,1.17000,1.30000,1.43000,posnorm,consumption,,unchanged
,P_content_pig,g P2O5 / 100 g,1.08000,1.20000,1.32000,posnorm,animal,,unchanged
,N_content_rice,g N / 100 gram product,1.06200,1.18000,1.29800,posnorm,consumption,,unchanged
,K_yield_fodder_peas,share,1.04850,1.16500,1.28150,posnorm,crop,no,unchanged
,K_yield_beans,share,1.04850,1.16500,1.28150,posnorm,crop,no,unchanged
,K_leftover_winter_wheat,kg K / FM dt,1.04400,1.16000,1.27600,posnorm,crop,no,unchanged
,K_leftover_summer_wheat,kg K / FM dt,1.04400,1.16000,1.27600,posnorm,crop,no,unchanged
,K_leftover_rye,kg K / FM dt,1.04400,1.16000,1.27600,posnorm,crop,no,unchanged
Mais silage,yield_share_mais_silage,kg yield / FM dt,1.00000,1.00000,1.00000,const,crop,no,unchanged
Rye,rye_to_animal,,1.00000,1.00000,1.00000,const,crop,no,unchanged
Winter barley,winter_barley_to_animal,,1.00000,1.00000,1.00000,const,crop,no,unchanged
Triticale,triticale_to_animal,,1.00000,1.00000,1.00000,const,crop,no,unchanged
Fodder peas,fodder_peas_to_animal,,1.00000,1.00000,1.00000,const,crop,no,unchanged
Beans,beans_to_animal,,1.00000,1.00000,1.00000,const,crop,no,unchanged
Winter wheat,winter_wheat_to_consumption,,1.00000,1.00000,1.00000,const,crop,no,unchanged
Summer wheat,summer_wheat_to_consumption,,1.00000,1.00000,1.00000,const,crop,no,unchanged
Corn,corn_to_consumption,,1.00000,1.00000,1.00000,const,crop,no,unchanged
,N_content_rye,g N / 100 gram product,0.99900,1.11000,1.22100,posnorm,consumption,,unchanged
,P_content_poultry,g P2O5 / 100 g,0.99000,1.10000,1.21000,posnorm,animal,,unchanged
,consume_legumes,kg / person / year,0.99000,1.10000,1.21000,posnorm,consumption,,unchanged
,consume_honey,kg / person / year,0.99000,1.10000,1.21000,posnorm,consumption,,unchanged
set range by myselg because othewise too large upper end,lossrate_K_wastewater,kg lossrate / FM dt,0.96100,0.98000,0.99000,tnorm_0_1,waste,yes,unchanged
veggie_peas,N_content_veggie_peas_gr_100gr,g N / 100 gram product,0.94500,1.05000,1.15500,posnorm,crop,no,unchanged
,N_content_legumes,g N / 100 gram product,0.94500,1.05000,1.15500,posnorm,consumption,,unchanged
,N_content_condensed_milk,g N / 100 gram product,0.91800,1.02000,1.12200,posnorm,consumption,,unchanged
share of cattle kept on liquid manure catchment systems,cattle_on_slurry,share,0.88350,0.93000,0.97650,tnorm_0_1,animal,,
total share of arable land,share_crop_land,share of total agricultural area,0.87700,0.87700,0.87700,const,crop,no,2020
,convert_potassium_oxide_to_k,conversion factor,0.83010,0.83010,0.83010,const,,,unchanged
Oilseed rape,dm_oilseed_rape,,0.81900,0.91000,0.99000,tnorm_0_1,crop,no,unchanged
Corn,N_leftover_corn,kg N / FM dt,0.81000,0.90000,0.99000,posnorm,crop,no,unchanged
sheep and goat meat,consume_sheep,kg / person / year,0.81000,0.90000,0.99000,posnorm,consumption,,unchanged
,K_yield_oilseed_rape,share,0.77850,0.86500,0.95150,tnorm_0_1,crop,no,unchanged
Winter wheat,dm_winter_wheat,,0.77400,0.86000,0.94600,tnorm_0_1,crop,no,unchanged
Summer wheat,dm_summer_wheat,,0.77400,0.86000,0.94600,tnorm_0_1,crop,no,unchanged
Rye,dm_rye,,0.77400,0.86000,0.94600,tnorm_0_1,crop,no,unchanged
Winter barley,dm_winter_barley,,0.77400,0.86000,0.94600,tnorm_0_1,crop,no,unchanged
Summer barley,dm_summer_barley,,0.77400,0.86000,0.94600,tnorm_0_1,crop,no,unchanged
Oat,dm_oat,,0.77400,0.86000,0.94600,tnorm_0_1,crop,no,unchanged
Triticale,dm_triticale,,0.77400,0.86000,0.94600,tnorm_0_1,crop,no,unchanged
Corn,dm_corn,,0.77400,0.86000,0.94600,tnorm_0_1,crop,no,unchanged
Fodder peas,dm_fodder_peas,,0.77400,0.86000,0.94600,tnorm_0_1,crop,no,unchanged
Beans,dm_beans,,0.77400,0.86000,0.94600,tnorm_0_1,crop,no,unchanged
calculated based on total milk,share_milk_to_factory,share,0.75060,0.83400,0.91740,tnorm_0_1,animal,no,2020
Mais silage,mais_silage_to_animal,,0.75000,0.75000,0.75000,const,crop,no,unchanged
Potato,potato_to_ponsumption,,0.75000,0.75000,0.75000,const,crop,no,unchanged
Mais silage,N_yield_mais_silage,kg N / FM dt,0.72000,0.80000,0.88000,posnorm,crop,no,unchanged
share of pig kept on liquid manure catchment systems,pig_on_slurry,share,0.71250,0.75000,0.78750,tnorm_0_1,animal,,
,P_yield_oilseed_rape,kg P / FM dt,0.70200,0.78000,0.85800,posnorm,crop,no,unchanged
,share_K_biogas_input_animal,share,0.70000,0.70000,0.70000,const,crop,,2020
loss rate sewage during treatment (calculated as 1-efficiency),lossrate_N_wastewater,kg lossrate / FM dt,0.68400,0.76000,0.83600,tnorm_0_1,waste,no,unchanged
,K_content_nuts,g K / 100 gram product,0.66000,0.72300,0.78600,posnorm,consumption,yes,unchanged
parsley,N_content_parsley_gr_100gr,g N / 100 gram product,0.63900,0.71000,0.78100,posnorm,crop,no,unchanged
,slaughter_weight_fraction_pig,share,0.63750,0.75000,0.86250,tnorm_0_1,animal,,unchanged
,N_excretion_hen,kg N / animal / year,0.63750,0.75000,0.86250,posnorm,animal,,
Oilseed rape,N_leftover_oilseed_rape,kg N / FM dt,0.63000,0.70000,0.77000,posnorm,crop,no,unchanged
,slaughter_weight_fraction_poultry,share,0.60350,0.71000,0.81650,tnorm_0_1,animal,,unchanged
share of waste water with denitrification and P elimination,share_wastewater_denitrified,kg share / FM dt,0.58750,0.65300,0.71805,tnorm_0_1,waste,,unchanged
,edible_fraction_pig,share,0.57800,0.68000,0.78200,tnorm_0_1,animal,,unchanged
Oilseed rape,yield_share_oilseed_rape,kg yield / FM dt,0.56667,0.62963,0.69259,tnorm_0_1,crop,no,unchanged
dry matter content compost consumption,dm_compost_consumption,share,0.56000,0.69000,0.81000,tnorm_0_1,waste,yes,unchanged
,edible_fraction_poultry,share,0.54400,0.64000,0.73600,tnorm_0_1,animal,,unchanged
,share_P_biogas_input_animal,share,0.53000,0.53000,0.53000,const,crop,,2020
,slaughter_weight_fraction_others,share,0.52700,0.62000,0.71300,tnorm_0_1,animal,,unchanged
,P_content_cheese,g P / 100 gram product,0.51300,0.57000,0.62700,posnorm,consumption,no,unchanged
Summer barley,summer_barley_to_animal,,0.50000,0.50000,0.50000,const,crop,no,unchanged
Common oat,oat_to_animal,,0.50000,0.50000,0.50000,const,crop,no,unchanged
Oilseed rape,oilseed_rape_to_animal,,0.50000,0.50000,0.50000,const,crop,no,unchanged
Sugar beet,sugar_beet_to_animal,,0.50000,0.50000,0.50000,const,crop,no,unchanged
Summer barley,summer_barley_to_consumption,,0.50000,0.50000,0.50000,const,crop,no,unchanged
Common oat,oat_to_consumption,,0.50000,0.50000,0.50000,const,crop,no,unchanged
Oilseed rape,oilseed_rape_to_consumption,,0.50000,0.50000,0.50000,const,crop,no,unchanged
Sugar beet,sugar_beet_to_sunsumption,,0.50000,0.50000,0.50000,const,crop,no,unchanged
,slaughter_weight_fraction_cattle,share,0.49300,0.58000,0.66700,tnorm_0_1,animal,,unchanged
dry matter content compost horticulture,dm_compost_horticulture,share,0.49000,0.59000,0.68700,tnorm_0_1,waste,yes,unchanged
,edible_fraction_other,share,0.47600,0.56000,0.64400,tnorm_0_1,animal,,unchanged
Oat,yield_share_oat,kg yield / FM dt,0.47143,0.52381,0.57619,tnorm_0_1,crop,no,unchanged
,P_yield_beans,kg P / FM dt,0.46800,0.52000,0.57200,posnorm,crop,no,unchanged
sweet_corn,N_content_sweet_corn_gr_100gr,g N / 100 gram product,0.46800,0.52000,0.57200,posnorm,crop,no,unchanged
,manure_N_to_PtwoOfive_other_poultry,share,0.46125,0.51250,0.56375,tnorm_0_1,animal,no,
dry matter content green waste,dm_green_waste,share,0.46000,0.58150,0.70300,tnorm_0_1,waste,yes,unchanged
Winter wheat,K_yield_winter_weat,percent,0.45000,0.50000,0.55000,tnorm_0_1,crop,no,unchanged
,K_yield_summer_weat,percent,0.45000,0.50000,0.55000,tnorm_0_1,crop,no,unchanged
,K_yield_rye,percent,0.45000,0.50000,0.55000,tnorm_0_1,crop,no,unchanged
,K_yield_winter_barley,percent,0.45000,0.50000,0.55000,tnorm_0_1,crop,no,unchanged
,K_yield_summer_barley,percent,0.45000,0.50000,0.55000,tnorm_0_1,crop,no,unchanged
,K_yield_oat,percent,0.45000,0.50000,0.55000,tnorm_0_1,crop,no,unchanged
,K_yield_triticale,percent,0.45000,0.50000,0.55000,tnorm_0_1,crop,no,unchanged
,K_yield_potato,share,0.45000,0.50000,0.55000,tnorm_0_1,crop,no,unchanged
Winter wheat,N_leftover_winter_wheat,kg N / FM dt,0.45000,0.50000,0.55000,posnorm,crop,no,unchanged
Summer wheat,N_leftover_summer_wheat,kg N / FM dt,0.45000,0.50000,0.55000,posnorm,crop,no,unchanged
Rye,N_leftover_rye,kg N / FM dt,0.45000,0.50000,0.55000,posnorm,crop,no,unchanged
Winter barley,N_leftover_winter_barley,kg N / FM dt,0.45000,0.50000,0.55000,posnorm,crop,no,unchanged
Summer barley,N_leftover_summer_barley,kg N / FM dt,0.45000,0.50000,0.55000,posnorm,crop,no,unchanged
Oat,N_leftover_oat,kg N / FM dt,0.45000,0.50000,0.55000,posnorm,crop,no,unchanged
Triticale,N_leftover_triticale,kg N / FM dt,0.45000,0.50000,0.55000,posnorm,crop,no,unchanged
,K_leftover_sugar_beet,kg K / FM dt,0.45000,0.50000,0.55000,posnorm,crop,no,unchanged
Corn,yield_share_corn,kg yield / FM dt,0.45000,0.50000,0.55000,tnorm_0_1,crop,no,unchanged
Fodder peas,yield_share_fodder_peas,kg yield / FM dt,0.45000,0.50000,0.55000,tnorm_0_1,crop,no,unchanged
Beans,yield_share_beans,kg yield / FM dt,0.45000,0.50000,0.55000,tnorm_0_1,crop,no,unchanged
share of grazzland grazed; mowing is 1- the value,share_grazing,kg share / FM dt,0.45000,0.50000,0.55000,tnorm_0_1,crop,no,unchanged
offal,consume_offal,kg / person / year,0.45000,0.50000,0.55000,posnorm,consumption,,unchanged
,manure_N_to_PtwoOfive_hen,share,0.44397,0.49330,0.54263,tnorm_0_1,animal,no,
,edible_fraction_cattle,share,0.44200,0.52000,0.59800,tnorm_0_1,animal,,unchanged
calculated based on total milk,N_content_milk,gr N / 100 gram product,0.44200,0.52000,0.59800,posnorm,animal,no,unchanged
,convert_phosphorous_pentoxide_to_p,conversion factor,0.43640,0.43640,0.43640,const,,,unchanged
,P_yield_fodder_peas,kg P / FM dt,0.43200,0.48000,0.52800,posnorm,crop,no,unchanged
Rye,yield_share_rye,kg yield / FM dt,0.42632,0.47368,0.52105,tnorm_0_1,crop,no,unchanged
Triticale,yield_share_triticale,kg yield / FM dt,0.42632,0.47368,0.52105,tnorm_0_1,crop,no,unchanged
,K_content_cocoa,g K / 100 gram product,0.41400,0.46000,0.50600,posnorm,consumption,no,unchanged
spinash,N_content_spinash_gr_100gr,g N / 100 gram product,0.40500,0.45000,0.49500,posnorm,crop,no,unchanged
,K_content_tree_fruits,g K / 100 gram product,0.40500,0.62550,0.84600,posnorm,consumption,yes,unchanged
Winter wheat,yield_share_winter_wheat,kg yield / FM dt,0.40000,0.44444,0.48889,tnorm_0_1,crop,no,unchanged
Summer wheat,yield_share_summer_wheat,kg yield / FM dt,0.40000,0.44444,0.48889,tnorm_0_1,crop,no,unchanged
Summer barley,yield_share_summer_barley,kg yield / FM dt,0.40000,0.44444,0.48889,tnorm_0_1,crop,no,unchanged
,K_content_potato,g K / 100 gram product,0.40000,0.45000,0.50000,posnorm,consumption,yes,unchanged
,manure_N_to_PtwoOfive_sheep,share,0.39069,0.43410,0.47751,tnorm_0_1,animal,no,
,manure_N_to_PtwoOfive_calf,share,0.38403,0.42670,0.46937,tnorm_0_1,animal,no,
,others_housingloss_rate,share,0.38000,0.40000,0.42000,tnorm_0_1,animal,,
arugula,N_content_arugula_gr_100gr,g N / 100 gram product,0.37800,0.42000,0.46200,posnorm,crop,no,unchanged
,K_yield_corn,percent,0.37350,0.41500,0.45650,tnorm_0_1,crop,no,unchanged
Winter barley,yield_share_winter_barley,kg yield / FM dt,0.37059,0.41176,0.45294,tnorm_0_1,crop,no,unchanged
Sugar beet,yield_share_sugar_beet,kg yield / FM dt,0.37059,0.41176,0.45294,tnorm_0_1,crop,no,unchanged
range of sow to fattening pig,manure_N_to_PtwoOfive_pig,share,0.36360,0.40760,0.45160,tnorm_0_1,animal,yes,
Sugar beet,N_leftover_sugar_beet,kg N / FM dt,0.36000,0.40000,0.44000,posnorm,crop,no,unchanged
,share_N_biogas_input_animal,share,0.34200,0.38000,0.41800,tnorm_0_1,crop,,2020
,P_content_nuts,g P / 100 gram product,0.34000,0.40300,0.46600,posnorm,consumption,yes,unchanged
,P_content_fish,g P / 100 gram product,0.33840,0.37600,0.41360,posnorm,consumption,no,unchanged
,N_content_cream,g N / 100 gram product,0.33300,0.37000,0.40700,posnorm,consumption,,unchanged
share of straw harvested and used for animal bedding of cereals,straw_share,kg straw / FM dt,0.33000,0.33000,0.33000,const,crop,no,unchanged
,K_content_fish,g K / 100 gram product,0.33000,0.37900,0.42800,posnorm,consumption,yes,unchanged
Mais silage 5,share_mais_silage,share of total agricultural area,0.32580,0.36200,0.39820,tnorm_0_1,crop,no,2020
,manure_N_to_PtwoOfive_bull,share,0.32553,0.36170,0.39787,tnorm_0_1,animal,no,
,K_yield_mais_silage,share,0.31950,0.35500,0.39050,posnorm,crop,no,unchanged
,K_content_vegetables,g K / 100 gram product,0.31800,0.35400,0.39000,posnorm,consumption,yes,unchanged
Winter wheat,P_yield_winter_weat,kg P / FM dt,0.31500,0.35000,0.38500,posnorm,crop,no,unchanged
,P_yield_summer_weat,kg P / FM dt,0.31500,0.35000,0.38500,posnorm,crop,no,unchanged
,P_yield_rye,kg P / FM dt,0.31500,0.35000,0.38500,posnorm,crop,no,unchanged
,P_yield_winter_barley,kg P / FM dt,0.31500,0.35000,0.38500,posnorm,crop,no,unchanged
,P_yield_summer_barley,kg P / FM dt,0.31500,0.35000,0.38500,posnorm,crop,no,unchanged
,P_yield_oat,kg P / FM dt,0.31500,0.35000,0.38500,posnorm,crop,no,unchanged
,P_yield_triticale,kg P / FM dt,0.31500,0.35000,0.38500,posnorm,crop,no,unchanged
,P_yield_corn,kg P / FM dt,0.31500,0.35000,0.38500,posnorm,crop,no,unchanged
Potato,N_yield_potato,kg N / FM dt,0.31500,0.35000,0.38500,posnorm,crop,no,unchanged
,K_content_pork,g K / 100 gram product,0.30600,0.35100,0.39600,posnorm,consumption,yes,unchanged
,K_content_beef,g K / 100 gram product,0.30420,0.33800,0.37180,posnorm,consumption,no,unchanged
Mais silage,dm_mais_silage,,0.29700,0.33000,0.36300,tnorm_0_1,crop,no,unchanged
,N_content_potato,g N / 100 gram product,0.29700,0.33000,0.36300,posnorm,consumption,,unchanged
,K_content_condensed_milk,g K / 100 gram product,0.29500,0.32600,0.35700,posnorm,consumption,yes,unchanged
,manure_N_to_PtwoOfive_dairy,share,0.28570,0.36700,0.44830,tnorm_0_1,animal,yes,
,cattle_housingloss_rate_solid,share,0.28500,0.30000,0.31500,tnorm_0_1,animal,,
,pig_housinglosss_rate_solid,share,0.28500,0.30000,0.31500,tnorm_0_1,animal,,
,P_content_black_tea,g P / 100 gram product,0.28260,0.31400,0.34540,posnorm,consumption,no,unchanged
,K_content_offal,g K / 100 gram product,0.28100,0.32400,0.36700,posnorm,consumption,yes,unchanged
asparagus,N_content_asparagus_gr_100gr,g N / 100 gram product,0.27900,0.31000,0.34100,posnorm,crop,no,unchanged
,K_content_poultry,g K2O / 100 g,0.27900,0.31000,0.34100,posnorm,animal,,unchanged
,P_content_offal,g P / 100 gram product,0.27900,0.30600,0.33300,posnorm,consumption,yes,unchanged
,P_content_herb_tea,g P / 100 gram product,0.27900,0.31000,0.34100,posnorm,consumption,no,unchanged
,manure_N_to_PtwoOfive_heifer,share,0.27702,0.30780,0.33858,tnorm_0_1,animal,no,
,K_leftover_potato,kg K / FM dt,0.27000,0.30000,0.33000,posnorm,crop,no,unchanged
,K_content_other_meat,g K / 100 gram product,0.26460,0.29400,0.32340,posnorm,consumption,no,unchanged
lambs_lettuce,N_content_lambs_lettuce_gr_100gr,g N / 100 gram product,0.26100,0.29000,0.31900,posnorm,crop,no,unchanged
,K_content_female_cattle,g K2O / 100 g,0.26100,0.29000,0.31900,posnorm,animal,,unchanged
,K_content_male_cattle,g K2O / 100 g,0.26100,0.29000,0.31900,posnorm,animal,,unchanged
,K_content_horse,g K2O / 100 g,0.26100,0.29000,0.31900,posnorm,animal,,unchanged
,K_content_sheep_meat,g K / 100 gram product,0.25800,0.28850,0.31900,posnorm,consumption,yes,unchanged
,P_content_cocoa,g P / 100 gram product,0.25200,0.28000,0.30800,posnorm,consumption,no,unchanged
Potato,potato_to_animal,,0.25000,0.25000,0.25000,const,crop,no,unchanged
,mais_silage_to_biogas,,0.25000,0.25000,0.25000,const,crop,no,unchanged
dry matter content organic solid waste,dm_ofmsw,share,0.23400,0.28250,0.33100,tnorm_0_1,waste,yes,unchanged
radishes,N_content_radishes_gr_100gr,g N / 100 gram product,0.21600,0.24000,0.26400,posnorm,crop,no,unchanged
,K_content_pig,g K2O / 100 g,0.21600,0.24000,0.26400,posnorm,animal,,unchanged
,K_content_sheep,g K2O / 100 g,0.21600,0.24000,0.26400,posnorm,animal,,unchanged
,K_content_poultry_meat,g K / 100 gram product,0.20800,0.26400,0.32000,posnorm,consumption,yes,unchanged
Sugar beet,dm_sugar_beet,,0.20700,0.23000,0.25300,tnorm_0_1,crop,no,unchanged
Potato,dm_potato,,0.19800,0.22000,0.24200,tnorm_0_1,crop,no,unchanged
cabbage,N_content_cabbage_gr_100gr,g N / 100 gram product,0.19800,0.22000,0.24200,posnorm,crop,no,unchanged
,N_content_dried_fruit,g N / 100 gram product,0.19800,0.22000,0.24200,posnorm,consumption,,unchanged
,P_content_poultry_meat,g P / 100 gram product,0.19080,0.21200,0.23320,posnorm,consumption,no,unchanged
,pig_housinglosss_rate_liquid,share,0.19000,0.20000,0.21000,tnorm_0_1,animal,,
,K_yield_sugar_beet,share,0.18900,0.21000,0.23100,tnorm_0_1,crop,no,unchanged
,K_leftover_corn,kg K / FM dt,0.18900,0.21000,0.23100,posnorm,crop,no,unchanged
Potato,N_leftover_potato,kg N / FM dt,0.18000,0.20000,0.22000,posnorm,crop,no,unchanged
,P_content_other_meat,g P / 100 gram product,0.17280,0.19200,0.21120,posnorm,consumption,no,unchanged
,P_content_coffee,g P / 100 gram product,0.17280,0.19200,0.21120,posnorm,consumption,no,unchanged
onion,N_content_onion_gr_100gr,g N / 100 gram product,0.17100,0.19000,0.20900,posnorm,crop,no,unchanged
lettuce,N_content_lettuce_gr_100gr,g N / 100 gram product,0.17100,0.19000,0.20900,posnorm,crop,no,unchanged
celery,N_content_celery_gr_100gr,g N / 100 gram product,0.17100,0.19000,0.20900,posnorm,crop,no,unchanged
,K_content_legumes,g K / 100 gram product,0.16400,0.26700,0.37000,posnorm,consumption,yes,unchanged
Sugar beet,N_yield_sugar_beet,kg N / FM dt,0.16200,0.18000,0.19800,posnorm,crop,no,unchanged
pumpkin,N_content_pumpkin_gr_100gr,g N / 100 gram product,0.16200,0.18000,0.19800,posnorm,crop,no,unchanged
berries,N_content_berries_gr_100gr,g N / 100 gram product,0.16200,0.18000,0.19800,posnorm,crop,no,unchanged
,K_content_rye,g K / 100 gram product,0.15600,0.16850,0.18100,posnorm,consumption,yes,unchanged
,P_leftover_oilseed_rape,kg P / FM dt,0.15300,0.17000,0.18700,posnorm,crop,no,unchanged
Potato,yield_share_potato,kg yield / FM dt,0.15000,0.16667,0.18333,tnorm_0_1,crop,no,unchanged
,P_content_pork,g P / 100 gram product,0.15000,0.17500,0.20000,posnorm,consumption,yes,unchanged
,P_content_condensed_milk,g P / 100 gram product,0.15000,0.17950,0.20900,posnorm,consumption,yes,unchanged
Winter wheat,share_winter_wheat,share of total agricultural area,0.14850,0.16500,0.18150,tnorm_0_1,crop,no,2020
,K_content_citrus_fruits,g K / 100 gram product,0.14800,0.16900,0.19000,posnorm,consumption,yes,unchanged
carrot,N_content_carrot_gr_100gr,g N / 100 gram product,0.14400,0.16000,0.17600,posnorm,crop,no,unchanged
,N_content_vegetables,g N / 100 gram product,0.14400,0.16000,0.17600,posnorm,consumption,,unchanged
"calculated as 1-rate in the Nährstoffreport, share of manure lost in storage process",cattle_housingloss_rate_liquid,share,0.14250,0.15000,0.15750,tnorm_0_1,animal,,
,N_excretion_other_poultry,kg N / animal / year,0.13600,0.16000,0.18400,posnorm,animal,,
calculated based on total milk,share_milk_other_use,share,0.13320,0.14800,0.16280,tnorm_0_1,animal,no,2020
,P_content_beef,g P / 100 gram product,0.13000,0.17000,0.21000,posnorm,consumption,yes,unchanged
,P_content_rye,g P / 100 gram product,0.12100,0.12800,0.13500,posnorm,consumption,yes,unchanged
,P_leftover_winter_wheat,kg P / FM dt,0.11700,0.13000,0.14300,posnorm,crop,no,unchanged
,P_leftover_summer_wheat,kg P / FM dt,0.11700,0.13000,0.14300,posnorm,crop,no,unchanged
,P_leftover_rye,kg P / FM dt,0.11700,0.13000,0.14300,posnorm,crop,no,unchanged
,P_leftover_winter_barley,kg P / FM dt,0.11700,0.13000,0.14300,posnorm,crop,no,unchanged
,P_leftover_summer_barley,kg P / FM dt,0.11700,0.13000,0.14300,posnorm,crop,no,unchanged
,P_leftover_oat,kg P / FM dt,0.11700,0.13000,0.14300,posnorm,crop,no,unchanged
,P_leftover_triticale,kg P / FM dt,0.11700,0.13000,0.14300,posnorm,crop,no,unchanged
,P_leftover_foder_peas,kg P / FM dt,0.11700,0.13000,0.14300,posnorm,crop,no,unchanged
,P_leftover_beans,kg P / FM dt,0.11700,0.13000,0.14300,posnorm,crop,no,unchanged
strawberry,N_content_strawberry_gr_100gr,g N / 100 gram product,0.11700,0.13000,0.14300,posnorm,crop,no,unchanged
Potato 3,share_potato,share of total agricultural area,0.11610,0.12900,0.14190,tnorm_0_1,crop,no,2020
,P_content_legumes,g P / 100 gram product,0.10900,0.11950,0.13000,posnorm,consumption,yes,unchanged
,K_content_wheat,g K / 100 gram product,0.10200,0.10500,0.10800,posnorm,consumption,yes,unchanged
,P_content_sheep_meat,g P / 100 gram product,0.10000,0.14500,0.19000,posnorm,consumption,yes,unchanged
,N_content_citrus_fruits,g N / 100 gram product,0.09900,0.11000,0.12100,posnorm,consumption,,unchanged
,N_content_butter,g N / 100 gram product,0.09900,0.11000,0.12100,posnorm,consumption,,unchanged
,P_content_rice,g P / 100 gram product,0.09900,0.11000,0.12100,posnorm,consumption,no,unchanged
,K_content_cream,g K / 100 gram product,0.09900,0.12350,0.14800,posnorm,consumption,yes,unchanged
,K_content_rice,g K / 100 gram product,0.09300,0.11150,0.13000,posnorm,consumption,yes,unchanged
stone_fruit,N_content_stone_fruit_gr_100gr,g N / 100 gram product,0.09000,0.10000,0.11000,posnorm,crop,no,unchanged
rhubarb,N_content_rhubarb_gr_100gr,g N / 100 gram product,0.09000,0.10000,0.11000,posnorm,crop,no,unchanged
share of groundwater influenced grasslands,share_gorundwater_influenced_grassland,kg share / FM dt,0.09000,0.10000,0.11000,tnorm_0_1,crop,,unchanged
,N_content_potato_starch,g N / 100 gram product,0.09000,0.10000,0.11000,posnorm,consumption,,unchanged
,K_content_cheese,g K / 100 gram product,0.08900,0.09550,0.10200,posnorm,consumption,yes,unchanged
,P_leftover_corn,kg P / FM dt,0.08100,0.09000,0.09900,posnorm,crop,no,unchanged
Sugar beet 4,share_sugar_beet,share of total agricultural area,0.07380,0.08200,0.09020,tnorm_0_1,crop,no,2020
,N_content_beer,g N / 100 gram product,0.07200,0.08000,0.08800,posnorm,consumption,,unchanged
,lossrate_P_wastewater,kg lossrate / FM dt,0.07200,0.08000,0.08800,tnorm_0_1,waste,no,unchanged
Winter barley (gerste),share_winter_barley,share of total agricultural area,0.06750,0.07500,0.08250,tnorm_0_1,crop,no,2020
,P_content_wheat,g P / 100 gram product,0.06660,0.07400,0.08140,posnorm,consumption,no,unchanged
,P_yield_potato,kg P / FM dt,0.06300,0.07000,0.07700,posnorm,crop,no,unchanged
,P_yield_mais_silage,kg P / FM dt,0.06300,0.07000,0.07700,posnorm,crop,no,unchanged
,K_content_sparkling_wine,g K / 100 gram product,0.06300,0.07000,0.07700,posnorm,consumption,no,unchanged
,N_content_honey,g N / 100 gram product,0.05400,0.06000,0.06600,posnorm,consumption,,unchanged
calculated from excel file,share_sewage_for_agriculture,kg share / FM dt,0.05181,0.05757,0.06333,tnorm_0_1,waste,,2020
N content sewage sludge,N_content_sewage_sludge,share of N to total mass,0.05130,0.05700,0.06270,tnorm_0_1,waste,,unchanged
,K_content_beer,g K / 100 gram product,0.04950,0.05500,0.06050,posnorm,consumption,no,unchanged
,P_leftover_sugar_beet,kg P / FM dt,0.04500,0.05000,0.05500,posnorm,crop,no,unchanged
apple,N_content_apple_gr_100gr,g N / 100 gram product,0.04500,0.05000,0.05500,posnorm,crop,no,unchanged
,N_content_tree_fruits,g N / 100 gram product,0.04500,0.05000,0.05500,posnorm,consumption,,unchanged
,P_content_potato,g P / 100 gram product,0.04500,0.04800,0.05100,posnorm,consumption,yes,unchanged
,P_content_tree_fruits,g P / 100 gram product,0.04500,0.05000,0.05500,posnorm,consumption,no,unchanged
,P_content_cream,g P / 100 gram product,0.04300,0.05600,0.06900,posnorm,consumption,yes,unchanged
,K_content_honey,g K / 100 gram product,0.04050,0.04500,0.04950,posnorm,consumption,no,unchanged
,P_yield_sugar_beet,kg P / FM dt,0.03600,0.04000,0.04400,posnorm,crop,no,unchanged
,P_content_vegetables,g P / 100 gram product,0.03400,0.03900,0.04400,posnorm,consumption,yes,unchanged
,P_content_beer,g P / 100 gram product,0.02880,0.03200,0.03520,posnorm,consumption,no,unchanged
,N_content_margarine,g N / 100 gram product,0.02700,0.03000,0.03300,posnorm,consumption,,unchanged
,N_content_sparkling_wine,g N / 100 gram product,0.02700,0.03000,0.03300,posnorm,consumption,,unchanged
,P_content_butter,g P / 100 gram product,0.02700,0.05400,0.08100,posnorm,consumption,yes,unchanged
N content (% of DM) organic solid waste,N_content_ofmsw_waste,kg N / kg DM,0.02300,0.02550,0.02800,tnorm_0_1,waste,yes,unchanged
,P_leftover_potato,kg P / FM dt,0.01800,0.02000,0.02200,posnorm,crop,no,unchanged
from unvermeidbare nährstoffverluste,ammonia_loss_rate_fertilizer,kg ammonia / FM dt,0.01800,0.02000,0.02200,tnorm_0_1,crop,,unchanged
Corn mais 2,share_corn,share of total agricultural area,0.01710,0.01900,0.02090,tnorm_0_1,crop,no,2020
winter koolzaad (raps),share_oilseed_rape,share of total agricultural area,0.01530,0.01700,0.01870,tnorm_0_1,crop,no,2020
