"","item","group1","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"import_meat_N2","66","normal",33,10000,6.55067150708707,437.976994218025,0,0,0,0,39764.1647320688,39764.1647320688,80.1426272042848,6952.07332547103,4.37976994218025
"export_egg_N1","67","local_feed",34,10000,0,0,0,0,0,0,0,0,NA,NA,0
"export_egg_N2","68","normal",34,10000,553.381054978822,2555.37196703476,0,0,0,0,48604.0760427804,48604.0760427804,6.98284935086875,67.9234344368563,25.5537196703476
"slaughter_waste_N1","69","local_feed",35,10000,548386.326972575,136818.798228217,537216.858439061,541390.009455704,132015.945665109,186746.8509782,1218452.85593995,1031706.00496175,0.537199788859036,0.447360153964374,1368.18798228217
"slaughter_waste_N2","70","normal",35,10000,967787.275673053,242289.684897435,945995.694153192,955756.108093341,233280.358429378,310394.966398995,2117379.13820578,1806984.17180679,0.535560326506986,0.477179507656319,2422.89684897435
"import_OFMSW_N1","71","local_feed",36,10000,188.58668953812,23.7456222822029,187.57501866424,188.172886713702,23.7439885860196,113.102699452181,315.11809080762,202.015391355439,0.213761218429057,0.070651813804572,0.237456222822029
"import_OFMSW_N2","72","normal",36,10000,188.58668953812,23.7456222822029,187.57501866424,188.172886713702,23.7439885860196,113.102699452181,315.11809080762,202.015391355439,0.213761218429057,0.070651813804572,0.237456222822029
"import_inorganic_fertilizer_N1","73","local_feed",37,10000,13250461.154732,1157581.33983994,13233786.6239025,13235508.5229733,1152460.26432957,9195520.7755476,17990722.994583,8795202.2190354,0.146938087583468,0.049952773791075,11575.8133983994
"import_inorganic_fertilizer_N2","74","normal",37,10000,7971714.63047065,529545.971542079,7971679.76783966,7971883.03471939,525645.227360224,6013584.62327321,9877141.9613571,3863557.33808389,-0.000774799259226,0.007905041425441,5295.45971542078
"import_organic_fertilizer_N1","75","local_feed",38,10000,1250810.70202998,76296.6599690972,1251154.3987763,1250976.32964447,75691.8983694786,962235.296609794,1528078.52772237,565843.231112576,-0.019353209061149,0.026270150406181,762.966599690972
"import_organic_fertilizer_N2","76","normal",38,10000,1250810.70202998,76296.6599690972,1251154.3987763,1250976.32964447,75691.8983694786,962235.296609794,1528078.52772237,565843.231112576,-0.019353209061149,0.026270150406181,762.966599690972
"net_food_import_N1","77","local_feed",39,10000,270349.035848207,57822.637817454,253225.065450528,256950.315095148,17311.899166925,200948.585891744,727917.567801004,526968.98190926,3.04141005207853,10.6267212242184,578.22637817454
"net_food_import_N2","78","normal",39,10000,215899.700879326,14486.547785881,215568.319879824,215735.296922784,14634.3036335504,166304.853279728,268853.332563248,102548.47928352,0.119381857447792,-0.134392603862958,144.86547785881
"net_feed_import_N1","79","local_feed",40,10000,0,0,0,0,0,0,0,0,NA,NA,0
"net_feed_import_N2","80","normal",40,10000,8441605.73766204,1611966.76757954,8390753.40818971,8419465.71826926,1606916.58820685,3022280.94495407,16068383.0976623,13046102.1527082,0.153880720426516,0.050625360152198,16119.6676757954
